Nature of Offense,Incident Location,City,State,Country,Latitude,Longitude
Bike Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America,44.9756669,-93.22995451226475
Bike Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America,44.9756669,-93.22995451226475
Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America,44.9756669,-93.22995451226475
Bike Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America,44.9756669,-93.22995451226475
Criminal Sexual Conduct - Rape,128 Pleasant St SE,Minneapolis,Minnesota,United States of America,44.97481985,-93.23727340616975
Criminal Sexual Conduct - Rape,128 Pleasant St SE,Minneapolis,Minnesota,United States of America,44.97481985,-93.23727340616975
Theft,1300 2nd St S,Minneapolis,Minnesota,United States of America,44.976395499999995,-93.24779112791444
Theft,1536 Cleveland Ave N,Minneapolis,Minnesota,United States of America,45.0355816,-93.2307516
Theft,159 Pillsbury Dr SE,Minneapolis,Minnesota,United States of America,44.9789136,-93.23708016211299
Bike Theft,1625 4th St S,Minneapolis,Minnesota,United States of America,44.9696869,-93.2395713
Assault,1625 4th St SE,Minneapolis,Minnesota,United States of America,44.97925975510204,-93.23249775510203
Assault,1625 4th St SE,Minneapolis,Minnesota,United States of America,44.97925975510204,-93.23249775510203
Rape,1625 University Ave SE,Minneapolis,Minnesota,United States of America,44.971196,-93.2159384
Theft,1811 5th St SE,Minneapolis,Minnesota,United States of America,44.97956395,-93.22815721543725
Theft,1815 4th St SE,Minneapolis,Minnesota,United States of America,44.97821643208198,-93.22987609264294
Assault,192 Pillsbury Dr SE,Minneapolis,Minnesota,United States of America,44.97767465,-93.23666517890899
Theft,1925 4th St S,Minneapolis,Minnesota,United States of America,44.9696869,-93.2395713
Bike Theft,1925 4th St S,Minneapolis,Minnesota,United States of America,44.9696869,-93.2395713
Bike Theft,1925 4th St S,Minneapolis,Minnesota,United States of America,44.9696869,-93.2395713
Theft,1925 4th St S,Minneapolis,Minnesota,United States of America,44.9696869,-93.2395713
Theft,1925 University Ave SE,Minneapolis,Minnesota,United States of America,44.97635227083333,-93.2284394375
Theft,200 Church St SE,Minneapolis,Minnesota,United States of America,44.9723056,-93.2342387
Theft,200 Oak St SE,Minneapolis,Minnesota,United States of America,44.97521905,-93.22787501329739
Bike Theft,200 Oak St SE,Minneapolis,Minnesota,United States of America,44.97521905,-93.22787501329739
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America,44.9747718,-93.2326141
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America,44.9747718,-93.2326141
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America,44.9747718,-93.2326141
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America,44.9747718,-93.2326141
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America,44.9747718,-93.2326141
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America,44.9747718,-93.2326141
Theft,200 Union St SE,Minneapolis,Minnesota,United States of America,44.9747718,-93.2326141
Bike Theft,2001 6th St SE,Minneapolis,Minnesota,United States of America,44.9892323,-93.2512213
Bike Theft,2001 6th St SE,Minneapolis,Minnesota,United States of America,44.9892323,-93.2512213
Theft,2001 Bloomington Ave,Minneapolis,Minnesota,United States of America,44.962005649999995,-93.25187583500627
Bike Theft,2001 Bloomington Ave,Minneapolis,Minnesota,United States of America,44.962005649999995,-93.25187583500627
Theft,2001 Bloomington Ave,Minneapolis,Minnesota,United States of America,44.962005649999995,-93.25187583500627
Theft,2009 University Ave SE,Minneapolis,Minnesota,United States of America,44.97599594552792,-93.2275563114396
Theft,2009 University Ave SE,Minneapolis,Minnesota,United States of America,44.97599594552792,-93.2275563114396
Bike Theft,2010 6th St SE,Minneapolis,Minnesota,United States of America,44.977913900000004,-93.2249936366577
Bike Theft,2025 E River Rd,Minneapolis,Minnesota,United States of America,45.0341965,-93.2759944
Bike Theft,206 Church St SE,Minneapolis,Minnesota,United States of America,44.9723056,-93.2342387
Bike Theft,206 Church St SE,Minneapolis,Minnesota,United States of America,44.9723056,-93.2342387
Theft,207 Church St SE,Minneapolis,Minnesota,United States of America,44.9723056,-93.2342387
Bike Theft,207 Church St SE,Minneapolis,Minnesota,United States of America,44.9723056,-93.2342387
Indecent Conduct,207 Pleasant St SE,Minneapolis,Minnesota,United States of America,44.97437055,-93.2362303140264
Bike Theft,207 Pleasant St SE,Minneapolis,Minnesota,United States of America,44.97437055,-93.2362303140264
Bike Theft,207 Pleasant St SE,Minneapolis,Minnesota,United States of America,44.97437055,-93.2362303140264
Theft,21 11th Ave SE,Minneapolis,Minnesota,United States of America,44.980239350000005,-93.24093116836117
Theft,210 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9722231,-93.2365279
Bike Theft,210 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9722231,-93.2365279
Bike Theft,210 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9722231,-93.2365279
Bike Theft,210 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9722231,-93.2365279
Bike Theft,210 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9722231,-93.2365279
Criminal Sexual Conduct - Rape,210 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9722231,-93.2365279
Bike Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America,44.971893550000004,-93.236191992504
Bike Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America,44.971893550000004,-93.236191992504
Bike Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America,44.971893550000004,-93.236191992504
Bike Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America,44.971893550000004,-93.236191992504
Bike Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America,44.971893550000004,-93.236191992504
Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America,44.971893550000004,-93.236191992504
Bike Theft,222 21st Ave S,Minneapolis,Minnesota,United States of America,44.9732929,-93.243081
Theft,222 Pleasant St SE,Minneapolis,Minnesota,United States of America,44.974083750000005,-93.23733016898099
Theft,2231 6th St SE,Minneapolis,Minnesota,United States of America,44.9892323,-93.2512213
Bike Theft,2231 6th St SE,Minneapolis,Minnesota,United States of America,44.9892323,-93.2512213
Bike Theft,2231 6th St SE,Minneapolis,Minnesota,United States of America,44.9892323,-93.2512213
Burglary,225 19th Ave S,Minneapolis,Minnesota,United States of America,44.9729415,-93.2436143
Bike Theft,225 19th Ave S,Minneapolis,Minnesota,United States of America,44.9729415,-93.2436143
Bike Theft,225 19th Ave S,Minneapolis,Minnesota,United States of America,44.9729415,-93.2436143
Bike Theft,229 19th Ave S,Minneapolis,Minnesota,United States of America,44.973081699999994,-93.24427087039017
Criminal Sexual Conduct - Rape,229 19th Ave S,Minneapolis,Minnesota,United States of America,44.973081699999994,-93.24427087039017
Bike Theft,229 19th Ave S,Minneapolis,Minnesota,United States of America,44.973081699999994,-93.24427087039017
Bike Theft,229 19th Ave S,Minneapolis,Minnesota,United States of America,44.973081699999994,-93.24427087039017
Theft from Person,229 19th Ave S,Minneapolis,Minnesota,United States of America,44.973081699999994,-93.24427087039017
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America,44.967838422818794,-93.23916343624161
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America,44.967838422818794,-93.23916343624161
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America,44.967838422818794,-93.23916343624161
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America,44.967838422818794,-93.23916343624161
Theft,2312 6th St S,Minneapolis,Minnesota,United States of America,44.967838422818794,-93.23916343624161
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America,44.967838422818794,-93.23916343624161
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America,44.967838422818794,-93.23916343624161
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America,44.967838422818794,-93.23916343624161
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America,44.967838422818794,-93.23916343624161
Assault,2414 7th St S,Minneapolis,Minnesota,United States of America,44.967454000000004,-93.23693623731435
Assault,2414 7th St S,Minneapolis,Minnesota,United States of America,44.967454000000004,-93.23693623731435
Bike Theft,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.96673255,-93.23724836991144
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.96673255,-93.23724836991144
Theft,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.96673255,-93.23724836991144
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.96673255,-93.23724836991144
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.96673255,-93.23724836991144
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.96673255,-93.23724836991144
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.96673255,-93.23724836991144
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.96673255,-93.23724836991144
Theft,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.96673255,-93.23724836991144
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.96673255,-93.23724836991144
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.96673255,-93.23724836991144
Sexual Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.96673255,-93.23724836991144
Theft,2450 Riverside Ave,Minneapolis,Minnesota,United States of America,44.96673255,-93.23724836991144
Assault,2459 Riverside Ave,Minneapolis,Minnesota,United States of America,44.96673255,-93.23724836991144
Bike Theft,2512 7th St S,Minneapolis,Minnesota,United States of America,44.967066,-93.23574117628894
Bike Theft,2515 University Ave SE,Minneapolis,Minnesota,United States of America,44.97338793939394,-93.22107654545455
Bike Theft,267 19th Ave S,Minneapolis,Minnesota,United States of America,44.971483750000004,-93.24292132819578
Bike Theft,267 19th Ave S,Minneapolis,Minnesota,United States of America,44.971483750000004,-93.24292132819578
Assault,269 19th Ave S,Minneapolis,Minnesota,United States of America,44.971852299999995,-93.24334456534811
Bike Theft,269 19th Ave S,Minneapolis,Minnesota,United States of America,44.971852299999995,-93.24334456534811
Theft,269 19th Ave S,Minneapolis,Minnesota,United States of America,44.971852299999995,-93.24334456534811
Theft,269 19th Ave S,Minneapolis,Minnesota,United States of America,44.971852299999995,-93.24334456534811
Theft,269 19th Ave S,Minneapolis,Minnesota,United States of America,44.971852299999995,-93.24334456534811
Bike Theft,27 Pleasant St SE,Minneapolis,Minnesota,United States of America,44.97796595,-93.2352802025548
Theft,271 19th Ave S,Minneapolis,Minnesota,United States of America,44.9716947,-93.2438305
Overdose,275 Cedar Ave S,Minneapolis,Minnesota,United States of America,44.97235815384615,-93.247347
Assault,275 Cedar Ave S,Minneapolis,Minnesota,United States of America,44.97235815384615,-93.247347
Hit and Run with Injury,27th Ave SE & University Ave SE,Minneapolis,Minnesota,United States of America,44.9730269,-93.217995
Theft,2829 University Ave SE,Minneapolis,Minnesota,United States of America,44.9715929,-93.2158114
Bike Theft,2901 Talmage Ave SE,Minneapolis,Minnesota,United States of America,44.99024265,-93.2116766
Possession of Firearm / Narcotics Violation /,2nd St SE / 8th Ave SE,Minneapolis,Minnesota,United States of America,,
Theft,300 19th Ave S,Minneapolis,Minnesota,United States of America,44.9704762,-93.24606663686164
Theft,300 19th Ave S,Minneapolis,Minnesota,United States of America,44.9704762,-93.24606663686164
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97377352390003,-93.23580432404897
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97377352390003,-93.23580432404897
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97377352390003,-93.23580432404897
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97377352390003,-93.23580432404897
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97377352390003,-93.23580432404897
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97377352390003,-93.23580432404897
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97377352390003,-93.23580432404897
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97377352390003,-93.23580432404897
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97377352390003,-93.23580432404897
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97377352390003,-93.23580432404897
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97377352390003,-93.23580432404897
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97377352390003,-93.23580432404897
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97377352390003,-93.23580432404897
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97377352390003,-93.23580432404897
Assault,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97377352390003,-93.23580432404897
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97377352390003,-93.23580432404897
Assault,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97377352390003,-93.23580432404897
Bike Theft,301 19th Ave S,Minneapolis,Minnesota,United States of America,44.971393449999994,-93.24474914360269
Theft,308 Harvard St SE,Minneapolis,Minnesota,United States of America,44.9733249,-93.230946725125
Theft,309 19th Ave S,Minneapolis,Minnesota,United States of America,44.97081935,-93.24358658521717
Bike Theft,309 19th Ave S,Minneapolis,Minnesota,United States of America,44.97081935,-93.24358658521717
Bike Theft,309 19th Ave S,Minneapolis,Minnesota,United States of America,44.97081935,-93.24358658521717
Bike Theft,309 19th Ave S,Minneapolis,Minnesota,United States of America,44.97081935,-93.24358658521717
Assault,309 Cedar Ave S,Minneapolis,Minnesota,United States of America,44.970561149999995,-93.24697539550056
Theft,312 Church St SE,Minneapolis,Minnesota,United States of America,44.9723056,-93.2342387
Bike Theft,312 Church St SE,Minneapolis,Minnesota,United States of America,44.9723056,-93.2342387
Bike Theft,312 Church St SE,Minneapolis,Minnesota,United States of America,44.9723056,-93.2342387
Bike Theft,315 19th Ave SE,Minneapolis,Minnesota,United States of America,44.9773261,-93.22951659173283
Criminal Sexual Conduct - Rape,315 Pillsbury Dr SE,Minneapolis,Minnesota,United States of America,44.97728825,-93.23399884281864
Theft,317 17th Ave SE,Minneapolis,Minnesota,United States of America,44.978129714285714,-93.23232153061224
Stalking,317 17th Ave SE,Minneapolis,Minnesota,United States of America,44.978129714285714,-93.23232153061224
Bike Theft,319 15th Ave SE,Minneapolis,Minnesota,United States of America,44.97956055,-93.23519859423524
Assault,320 Cedar Ave S,Minneapolis,Minnesota,United States of America,44.9708077,-93.24751499870982
Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America,44.970462999999995,-93.24477162344891
Bike Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America,44.970462999999995,-93.24477162344891
Theft from Person,321 19th Ave S,Minneapolis,Minnesota,United States of America,44.970462999999995,-93.24477162344891
Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America,44.970462999999995,-93.24477162344891
Bike Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America,44.970462999999995,-93.24477162344891
Bike Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America,44.970462999999995,-93.24477162344891
Bike Theft,321 Church St SE,Minneapolis,Minnesota,United States of America,44.9723056,-93.2342387
Bike Theft,321 S 19th Ave,Minneapolis,Minnesota,United States of America,44.970462999999995,-93.24477162344891
Bike Theft,324 Harvard St SE,Minneapolis,Minnesota,United States of America,44.9727877,-93.23065726633986
Theft,326 16th Ave SE,Minneapolis,Minnesota,United States of America,44.9788868,-93.23275168926997
Bike Theft,326 17th Ave SE,Minneapolis,Minnesota,United States of America,44.97811528571429,-93.2320596122449
Bike Theft,326 17th Ave SE,Minneapolis,Minnesota,United States of America,44.97811528571429,-93.2320596122449
Bike Theft,326 17th Ave SE,Minneapolis,Minnesota,United States of America,44.97811528571429,-93.2320596122449
Bike Theft,326 17th Ave SE,Minneapolis,Minnesota,United States of America,44.97811528571429,-93.2320596122449
Assault,326 17th Ave SE,Minneapolis,Minnesota,United States of America,44.97811528571429,-93.2320596122449
Bike Theft,326 17th Ave SE,Minneapolis,Minnesota,United States of America,44.97811528571429,-93.2320596122449
Bike Theft,326 27th Ave SE,Minneapolis,Minnesota,United States of America,44.97260116326531,-93.21826755102042
Assault,400 21st Ave S,Minneapolis,Minnesota,United States of America,44.9696005,-93.2433207
Bike Theft,400 21st Ave S,Minneapolis,Minnesota,United States of America,44.9696005,-93.2433207
Theft,401 Oak St SE,Minneapolis,Minnesota,United States of America,44.97223655,-93.22636887469103
Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9697539,-93.24098805902153
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9697539,-93.24098805902153
Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9697539,-93.24098805902153
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9697539,-93.24098805902153
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9697539,-93.24098805902153
Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9697539,-93.24098805902153
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9697539,-93.24098805902153
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9697539,-93.24098805902153
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9697539,-93.24098805902153
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9697539,-93.24098805902153
Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9697539,-93.24098805902153
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9697539,-93.24098805902153
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9697539,-93.24098805902153
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9697539,-93.24098805902153
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9697539,-93.24098805902153
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9697539,-93.24098805902153
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9697539,-93.24098805902153
Bike Theft,417 Walnut St SE,Minneapolis,Minnesota,United States of America,44.971999,-93.22793933831647
Bike Theft,417 Walnut St SE,Minneapolis,Minnesota,United States of America,44.971999,-93.22793933831647
Theft,417 Walnut St SE,Minneapolis,Minnesota,United States of America,44.971999,-93.22793933831647
Bike Theft,417 Walnut St SE,Minneapolis,Minnesota,United States of America,44.971999,-93.22793933831647
Theft,420 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9719889,-93.23289533099673
Theft,420 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9719889,-93.23289533099673
Bike Theft,420 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9719889,-93.23289533099673
Bike Theft,420 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97357810204082,-93.23331479591836
Assault w/dangerous weapon,420 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97357810204082,-93.23331479591836
Theft,420 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97357810204082,-93.23331479591836
Bike Theft,420 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97357810204082,-93.23331479591836
Bike Theft,421 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.973743102040814,-93.23330979591836
Theft,421 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.973743102040814,-93.23330979591836
Theft,500 Harvard St SE,Minneapolis,Minnesota,United States of America,44.97101265,-93.23144466768856
Possession of Stolen Firearm / Unlawful,500 Harvard St SE,Minneapolis,Minnesota,United States of America,44.97101265,-93.23144466768856
Theft,500 Harvard St SE,Minneapolis,Minnesota,United States of America,44.97101265,-93.23144466768856
Assault,500 Harvard St SE,Minneapolis,Minnesota,United States of America,44.97101265,-93.23144466768856
