Nature of Offense,Incident Location,City,State,Country,Latitude,Longitude
Bike Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America,44.9750926,-93.2296758
Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America,44.9750926,-93.2296758
Bike Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America,44.9750926,-93.2296758
Bike Theft,123 Harvrad St SE,Minneapolis,Minnesota,United States of America,44.9750926,-93.2296758
Bike Theft,123 Havard St SE,Minneapolis,Minnesota,United States of America,44.9750926,-93.2296758
Bike Theft,1237 Fifield Ave,Minneapolis,Minnesota,United States of America,44.97841409999999,-93.1836764
Bike Theft,1269 Gibbs Ave,Minneapolis,Minnesota,United States of America,44.9784794,-93.1850324
Criminal Sexual Conduct - Rape,128 Pleasant St SE,Minneapolis,Minnesota,United States of America,44.9749066,-93.23711639999999
Criminal Sexual Conduct - Rape,128 Pleasant St SE,Minneapolis,Minnesota,United States of America,44.9749066,-93.23711639999999
Theft,1300 2nd St S,Minneapolis,Minnesota,United States of America,44.9757911,-93.2481214
Burglary,1472 Gortner Ave,Minneapolis,Minnesota,United States of America,44.9857685,-93.18135629999999
Theft,1478 Fairview Ave,Minneapolis,Minnesota,United States of America,44.9918562,-93.1769681
Hit and Run with Injury,14th Ave SE & 4th St SE,Minneapolis,Minnesota,United States of America,44.9804925,-93.2357823
Assault,14th Ave SE & 4th St SE,Minneapolis,Minnesota,United States of America,44.9804925,-93.2357823
Bike Theft,15 Church St SE,Minneapolis,Minnesota,United States of America,44.9774099,-93.2321522
Theft,1536 Cleveland Ave N,Minneapolis,Minnesota,United States of America,44.9897306,-93.18834199999999
Theft,159 Pillsbury Dr SE,Minneapolis,Minnesota,United States of America,44.978929,-93.2368291
Bike Theft,1625 4th St S,Minneapolis,Minnesota,United States of America,45.00498,-93.261208
Assault,1625 4th St SE,Minneapolis,Minnesota,United States of America,44.97949759999999,-93.2319943
Assault,1625 4th St SE,Minneapolis,Minnesota,United States of America,44.97949759999999,-93.2319943
Rape,1625 University Ave SE,Minneapolis,Minnesota,United States of America,44.9780834,-93.2325741
Assault,16th Ave SE & University Ave SE,Minneapolis,Minnesota,United States of America,44.9784123,-93.2338001
Theft,1801 Dudley Ave,Minneapolis,Minnesota,United States of America,45.0592534,-93.36774
Theft,1811 5th St SE,Minneapolis,Minnesota,United States of America,44.9791669,-93.2289459
Theft,1815 4th St SE,Minneapolis,Minnesota,United States of America,44.9788074,-93.2295218
Assault,192 Pillsbury Dr SE,Minneapolis,Minnesota,United States of America,44.9776789,-93.23669009999999
Theft,1925 4th St S,Minneapolis,Minnesota,United States of America,45.0082594,-93.26115469999999
Bike Theft,1925 4th St S,Minneapolis,Minnesota,United States of America,45.0082594,-93.26115469999999
Bike Theft,1925 4th St S,Minneapolis,Minnesota,United States of America,45.0082594,-93.26115469999999
Theft,1925 4th St S,Minneapolis,Minnesota,United States of America,45.0082594,-93.26115469999999
Theft,1925 University Ave SE,Minneapolis,Minnesota,United States of America,44.9770901,-93.2283819
Theft,1985 Buford Ave,Minneapolis,Minnesota,United States of America,44.985094,-93.1832958
Theft,1994 Buford Ave,Minneapolis,Minnesota,United States of America,44.9835704,-93.18453579999999
Theft,200 Church St SE,Minneapolis,Minnesota,United States of America,44.9756502,-93.2338718
Theft,200 Oak St SE,Minneapolis,Minnesota,United States of America,44.975283,-93.22794069999999
Bike Theft,200 Oak St SE,Minneapolis,Minnesota,United States of America,44.975283,-93.22794069999999
